index,label,isolation,mean_cri,mean_lat_ns,sprt_verdict,sprt_accepted_pairs,sprt_rejected_pairs,delta_iso_vs_vlui,delta_cri_vs_vlui,delta_lat_vs_vlui
rtree,R-tree,2.062454,0.23701941,146551.9,REJECT_H0,0,12,1.751008,0.18397499,-3270075.5
lchi,LCHI (VLUI ✓),0.311446,0.05304442,3416627.4,REJECT_H0,0,12,0.0,0.0,0.0
buffered,BufferedRTree,2.08075,0.54240911,689680.4,REJECT_H0,0,12,1.769304,0.48936469,-2726947.0
grid,GridBTree,0.167686,0.04052609,64156030.4,REJECT_H0,0,12,-0.14376,-0.01251833,60739403.0
lsm,LSMSpatial,0.273139,0.05741639,91806243.1,REJECT_H0,0,12,-0.038307,0.00437197,88389615.7
learned,LearnedGrid,0.309052,0.06754225,3412492.7,REJECT_H0,0,12,-0.002394,0.01449783,-4134.7
